Source,Target,Type,Kind,Id,Label,timeset,Weight
34,78,Directed,Victim,1,Victim,,1.0
34,8,Directed,Victim,2,Victim,,1.0
34,12,Directed,Victim,3,Victim,,1.0
35,52,Directed,Victim,4,Victim,,1.0
34,7,Directed,Victim,5,Victim,,1.0
35,77,Directed,Victim,6,Victim,,1.0
35,55,Directed,Victim,7,Victim,,1.0
34,9,Directed,Victim,8,Victim,,1.0
24,69,Directed,Victim,9,Victim,,1.0
30,47,Directed,Victim,10,Victim,,1.0
28,84,Directed,Victim,11,Victim,,1.0
34,1,Directed,Victim,12,Victim,,1.0
35,51,Directed,Victim,13,Victim,,1.0
19,93,Directed,Victim,14,Victim,,1.0
35,41,Directed,Victim,15,Victim,,1.0
34,85,Directed,Victim,16,Victim,,1.0
30,56,Directed,Victim,17,Victim,,1.0
35,75,Directed,Victim,18,Victim,,1.0
34,73,Directed,Victim,19,Victim,,1.0
34,5,Directed,Victim,20,Victim,,1.0
17,94,Directed,Victim,21,Victim,,1.0
18,53,Directed,Victim,22,Victim,,1.0
30,85,Directed,Victim,23,Victim,,1.0
30,86,Directed,Victim,24,Victim,,1.0
35,74,Directed,Victim,25,Victim,,1.0
34,3,Directed,Victim,26,Victim,,1.0
28,43,Directed,Victim,27,Victim,,1.0
16,11,Directed,Victim,28,Victim,,1.0
30,6,Directed,Victim,29,Victim,,1.0
35,91,Directed,Victim,30,Victim,,1.0
35,4,Directed,Victim,31,Victim,,1.0
34,2,Directed,Victim,32,Victim,,1.0
35,81,Directed,Victim,33,Victim,,1.0
29,48,Directed,Victim,34,Victim,,1.0
29,48,Directed,Victim,35,Victim,,1.0
29,83,Directed,Victim,36,Victim,,1.0
29,83,Directed,Victim,37,Victim,,1.0
29,83,Directed,Victim,38,Victim,,1.0
29,82,Directed,Victim,39,Victim,,1.0
13,83,Directed,Victim,40,Victim,,1.0
29,94,Directed,Victim,41,Victim,,1.0
29,94,Directed,Victim,42,Victim,,1.0
27,70,Directed,Victim,43,Victim,,1.0
27,72,Directed,Victim,44,Victim,,1.0
27,45,Directed,Victim,45,Victim,,1.0
27,71,Directed,Victim,46,Victim,,1.0
27,96,Directed,Victim,47,Victim,,1.0
29,79,Directed,Victim,48,Victim,,1.0
27,42,Directed,Victim,49,Victim,,1.0
27,44,Directed,Victim,50,Victim,,1.0
27,66,Directed,Victim,51,Victim,,1.0
27,67,Directed,Victim,52,Victim,,1.0
27,89,Directed,Victim,53,Victim,,1.0
27,76,Directed,Victim,54,Victim,,1.0
27,46,Directed,Victim,55,Victim,,1.0
15,97,Directed,Victim,56,Victim,,1.0
24,69,Directed,Victim,57,Victim,,1.0
33,87,Directed,Victim,58,Victim,,1.0
33,62,Directed,Victim,59,Victim,,1.0
33,40,Directed,Victim,60,Victim,,1.0
33,65,Directed,Victim,61,Victim,,1.0
33,63,Directed,Victim,62,Victim,,1.0
33,64,Directed,Victim,63,Victim,,1.0
33,59,Directed,Victim,64,Victim,,1.0
33,98,Directed,Victim,65,Victim,,1.0
23,49,Directed,Victim,66,Victim,,1.0
23,95,Directed,Victim,67,Victim,,1.0
23,57,Directed,Victim,68,Victim,,1.0
23,10,Directed,Victim,69,Victim,,1.0
23,88,Directed,Victim,70,Victim,,1.0
23,68,Directed,Victim,71,Victim,,1.0
23,54,Directed,Victim,72,Victim,,1.0
22,39,Directed,Victim,73,Victim,,1.0
32,58,Directed,Victim,74,Victim,,1.0
22,92,Directed,Victim,75,Victim,,1.0
38,60,Directed,Victim,76,Victim,,1.0
31,80,Directed,Victim,77,Victim,,1.0
31,50,Directed,Victim,78,Victim,,1.0
31,90,Directed,Victim,79,Victim,,1.0
31,61,Directed,Victim,80,Victim,,1.0
13,218,Directed,Location,101,Location,,1.0
13,103,Directed,When,102,When,,1.0
13,301,Directed,Carried out by,103,Carried out by,,1.0
15,218,Directed,Location,104,Location,,1.0
15,104,Directed,When,105,When,,1.0
15,301,Directed,Carried out by,106,Carried out by,,1.0
16,207,Directed,Location,107,Location,,1.0
16,106,Directed,When,108,When,,1.0
16,302,Directed,Carried out by,109,Carried out by,,1.0
17,218,Directed,Location,110,Location,,1.0
17,103,Directed,When,111,When,,1.0
18,201,Directed,Location,112,Location,,1.0
18,113,Directed,When,113,When,,1.0
18,302,Directed,Carried out by,114,Carried out by,,1.0
19,215,Directed,Location,115,Location,,1.0
19,112,Directed,When,116,When,,1.0
19,303,Directed,Carried out by,117,Carried out by,,1.0
20,208,Directed,Location,118,Location,,1.0
20,115,Directed,When,119,When,,1.0
20,301,Directed,Carried out by,120,Carried out by,,1.0
21,200,Directed,Location,121,Location,,1.0
21,103,Directed,When,122,When,,1.0
21,301,Directed,Carried out by,123,Carried out by,,1.0
22,214,Directed,Location,124,Location,,1.0
22,110,Directed,When,125,When,,1.0
22,302,Directed,Carried out by,126,Carried out by,,1.0
23,209,Directed,Location,127,Location,,1.0
23,202,Directed,Location,128,Location,,1.0
23,108,Directed,When,129,When,,1.0
23,301,Directed,Carried out by,130,Carried out by,,1.0
24,206,Directed,Location,131,Location,,1.0
24,105,Directed,When,132,When,,1.0
24,304,Directed,Carried out by,133,Carried out by,,1.0
25,200,Directed,Location,134,Location,,1.0
25,103,Directed,When,135,When,,1.0
25,301,Directed,Carried out by,136,Carried out by,,1.0
26,216,Directed,Location,137,Location,,1.0
26,110,Directed,When,138,When,,1.0
26,302,Directed,Carried out by,139,Carried out by,,1.0
27,204,Directed,Location,140,Location,,1.0
27,103,Directed,When,141,When,,1.0
27,301,Directed,Carried out by,142,Carried out by,,1.0
28,210,Directed,Location,143,Location,,1.0
28,103,Directed,When,144,When,,1.0
28,301,Directed,Carried out by,145,Carried out by,,1.0
29,218,Directed,Location,146,Location,,1.0
29,103,Directed,When,147,When,,1.0
29,301,Directed,Carried out by,148,Carried out by,,1.0
30,213,Directed,Location,149,Location,,1.0
30,103,Directed,When,150,When,,1.0
30,301,Directed,Carried out by,151,Carried out by,,1.0
31,217,Directed,Location,152,Location,,1.0
31,114,Directed,When,153,When,,1.0
31,301,Directed,Carried out by,154,Carried out by,,1.0
32,207,Directed,Location,155,Location,,1.0
32,110,Directed,When,156,When,,1.0
32,302,Directed,Carried out by,157,Carried out by,,1.0
33,211,Directed,Location,158,Location,,1.0
33,107,Directed,When,159,When,,1.0
33,302,Directed,Carried out by,160,Carried out by,,1.0
34,207,Directed,Location,161,Location,,1.0
34,102,Directed,When,162,When,,1.0
34,301,Directed,Carried out by,163,Carried out by,,1.0
35,203,Directed,Location,164,Location,,1.0
35,103,Directed,When,165,When,,1.0
35,301,Directed,Carried out by,166,Carried out by,,1.0
36,200,Directed,Location,167,Location,,1.0
36,101,Directed,When,168,When,,1.0
36,301,Directed,Carried out by,169,Carried out by,,1.0
37,212,Directed,Location,170,Location,,1.0
37,109,Directed,When,171,When,,1.0
37,302,Directed,Carried out by,172,Carried out by,,1.0
38,205,Directed,Location,173,Location,,1.0
38,111,Directed,When,174,When,,1.0
38,302,Directed,Carried out by,175,Carried out by,,1.0
